"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Leona","Support",18,"47.4%","18.4%","65.8%","50%","22%",14,50,115,2.6,"60.8%","20.2%","11%",-131,-149,-6.6,1.1,"2.9%",122,"6.8%","8.4%",1.49,0.38
"Lillia","Jungle",16,"42.1%","44.7%","86.8%","31%","50%",43,52,108,2.9,"76.6%","21.4%","44%",190,319,5.6,6.5,"20.8%",457,"24.0%","20.8%",0.32,0.23
"Lucian","Middle",5,"13.2%","47.4%","60.5%","60%","20%",21,15,19,2.7,"66.7%","25.0%","20%",128,-144,2.4,9,"31.0%",534,"27.4%","26.6%",0.41,0.38
"Lulu","Middle",2,"5.3%","2.6%","7.9%","50%","100%",3,4,17,5,"80.0%","13.8%","50%",-1,16,4.5,6.9,"19.7%",329,"18.3%","20.9%",0.54,0.06
"Lux","-",0,"0%","2.6%","2.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Malphite","Top",2,"5.3%","7.9%","13.2%","50%","100%",4,8,11,1.9,"48.4%","27.6%","50%",204,215,4.5,8.2,"26.1%",501,"22.6%","21.3%",0.49,0.16
"Miss Fortune","ADC",3,"7.9%","2.6%","10.5%","67%","67%",13,10,19,3.2,"76.2%","31.3%","33%",410,481,26.3,8.7,"27.9%",491,"28.2%","25.7%",0.37,0.29
"Mordekaiser","Top",4,"10.5%","15.8%","26.3%","25%","100%",19,14,14,2.4,"67.3%","18.2%","0%",-205,-61,-1.5,7.4,"23.1%",510,"27.4%","24.1%",0.47,0.09
"Morgana","Support",1,"2.6%","2.6%","5.3%","100%","100%",1,3,10,3.7,"57.9%","37.5%","0%",443,-169,0,1.1,"2.3%",244,"9.9%","9.2%",1.15,0.3
"Nautilus","Support",11,"28.9%","28.9%","57.9%","36%","55%",9,46,68,1.7,"56.2%","24.9%","36%",34,17,0.2,1.1,"2.9%",133,"7.3%","8.5%",1.43,0.33
"Nidalee","Jungle",11,"28.9%","60.5%","89.5%","64%","0%",35,26,77,4.3,"72.7%","16.8%","36%",5,269,4.6,6.6,"20.8%",408,"21.0%","20.5%",0.62,0.55
"Olaf","-",0,"0%","2.6%","2.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Orianna","ADC",1,"2.6%","57.9%","86.8%","100%","100%",4,4,13,4.3,"56.7%","40.0%","0%",-254,660,0,8.7,"27.1%",905,"29.6%","22.3%",0.28,0.21
